row,column,layer,node,Reach,Stage,Bottom,Conductanc,Conc,Width,Length,Thickness,K
"107","35","1","0","0",16.198000,11.149000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"107","36","1","0","0",16.200000,12.545000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"107","37","1","0","0",16.202000,13.084000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"107","38","1","0","0",16.205000,13.220000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"107","39","1","0","0",16.211000,8.194000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"107","40","1","0","0",16.211000,7.635000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"107","3","1","0","0",16.082000,16.063000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"107","19","1","0","0",16.161000,15.443000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"106","4","1","0","0",16.085000,15.991000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"106","5","1","0","0",16.085000,9.790000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"106","6","1","0","0",16.084000,10.370000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"106","19","1","0","0",16.161000,15.537000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"106","20","1","0","0",16.161000,14.963000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"106","21","1","0","0",16.162000,8.942000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"106","22","1","0","0",16.164000,9.565000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"106","23","1","0","0",16.166000,11.767000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"106","24","1","0","0",16.170000,13.183000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"106","25","1","0","0",16.175000,14.178000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"106","26","1","0","0",16.181000,15.619000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"106","29","1","0","0",16.192000,15.820000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"106","30","1","0","0",16.192000,15.438000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"106","31","1","0","0",16.193000,15.266000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"106","38","1","0","0",16.210000,15.883000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"106","39","1","0","0",16.211000,4.793000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"106","40","1","0","0",16.211000,6.730000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"106","41","1","0","0",16.210000,16.135000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"105","4","1","0","0",16.088000,15.823000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"105","5","1","0","0",16.088000,8.990000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"105","6","1","0","0",16.088000,11.065000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"106","18","1","0","0",16.159000,15.697000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"105","19","1","0","0",16.159000,15.567000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"105","20","1","0","0",16.160000,8.907000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"105","21","1","0","0",16.161000,9.263000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"105","22","1","0","0",16.163000,12.054000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"105","23","1","0","0",16.165000,14.505000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"106","37","1","0","0",16.210000,16.143000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"105","38","1","0","0",16.209000,15.080000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"105","39","1","0","0",16.207000,6.617000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"105","40","1","0","0",16.208000,7.861000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"105","41","1","0","0",16.209000,16.025000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"105","18","1","0","0",16.158000,15.654000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"105","37","1","0","0",16.210000,15.878000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"104","4","1","0","0",16.090000,15.996000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"104","5","1","0","0",16.091000,8.812000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"104","6","1","0","0",16.091000,10.636000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"104","18","1","0","0",16.157000,15.840000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"104","19","1","0","0",16.157000,11.981000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"104","20","1","0","0",16.158000,8.714000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"104","21","1","0","0",16.159000,11.731000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"104","37","1","0","0",16.215000,16.078000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"104","38","1","0","0",16.214000,9.543000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"104","39","1","0","0",16.211000,8.463000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"104","40","1","0","0",16.209000,13.054000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"104","41","1","0","0",16.207000,15.443000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"104","36","1","0","0",16.217000,16.171000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"103","4","1","0","0",16.093000,15.754000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"103","5","1","0","0",16.093000,9.119000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"103","6","1","0","0",16.093000,10.013000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"103","18","1","0","0",16.155000,16.001000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"103","19","1","0","0",16.156000,8.127000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"103","20","1","0","0",16.157000,10.036000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"103","21","1","0","0",16.158000,14.288000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"103","36","1","0","0",16.218000,16.046000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"103","37","1","0","0",16.218000,11.981000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"103","38","1","0","0",16.216000,9.279000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"103","39","1","0","0",16.215000,10.808000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"103","40","1","0","0",16.213000,12.038000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"103","17","1","0","0",16.155000,16.121000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"103","35","1","0","0",16.220000,16.187000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"102","4","1","0","0",16.095000,15.997000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"102","5","1","0","0",16.095000,11.679000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"102","6","1","0","0",16.095000,9.492000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"102","17","1","0","0",16.154000,15.898000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"102","18","1","0","0",16.154000,10.194000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"102","19","1","0","0",16.155000,8.307000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"102","20","1","0","0",16.155000,11.498000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"102","35","1","0","0",16.223000,16.035000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"102","36","1","0","0",16.221000,11.714000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"102","37","1","0","0",16.219000,9.834000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"102","38","1","0","0",16.218000,10.705000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"102","39","1","0","0",16.217000,12.081000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"102","34","1","0","0",16.224000,15.997000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"102","7","1","0","0",16.096000,14.526000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"101","4","1","0","0",16.097000,15.877000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"101","5","1","0","0",16.097000,14.343000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"101","6","1","0","0",16.097000,8.220000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
